Text,Sentiment,Source,ID
Adorei este produto!,positivo, Twitter,1
O serviço foi terrível.,negativo, Críticas do Yelp,2
Este filme é incrível!,positivo, IMDb,3
Estou muito decepcionado com o suporte ao cliente.,negativo, Fórum on-line,4
Acabei de fazer a melhor refeição da minha vida!,positivo, TripAdvisor,5
A qualidade deste produto é abaixo da média.,negativo, Críticas da Amazon,6
Não consigo parar de ouvir esta música. É incrível!,positivo, Spotify,7
O site deles é muito fácil de usar. Adorei!,positivo, Depoimento do site,8
Adorei o filme! Foi fantástico!,positivo, IMDb,9
O atendimento ao cliente foi terrível.,negativo, Críticas do Yelp,10
Este livro me fez sentir inspirado. Altamente recomendado!,positivo, Goodreads,11
Estou extremamente decepcionado com a qualidade do produto.,negativo, Loja on-line,12
Acabei de ter as férias mais incríveis! Mal posso esperar para voltar.,positivo, TripAdvisor,13
A comida neste restaurante era horrível. Nunca mais vou voltar!,negativo, Zomato,14
Não consigo parar de ouvir esta música. É a minha nova favorita!,positivo, Spotify,15
O site deles é tão confuso e mal projetado.,negativo, Crítica do site,16
Tive uma experiência incrível no parque temático. Muito divertido!,positivo, Relatório de viagem,17
O produto chegou danificado. Muito decepcionado.,negativo, Loja online,18
O show foi absolutamente de tirar o fôlego. Melhor apresentação de todos os tempos!,positivo, Crítica do evento,19
Tive uma experiência terrível com o suporte ao cliente.,negativo, Bate-papo online,20
Este filme é uma obra-prima! Fiquei impressionado.,positivo, IMDb,21
O atendimento ao cliente nesta loja é de primeira.,positivo, Críticas do Yelp,22
Estou decepcionado com o final deste livro. Ele não deu certo.,negativo, Goodreads,23
O produto que recebi estava danificado. Inaceitável.,negativo, Loja online,24
Acabei de ter a pior experiência de voo. Funcionários atrasados ​​e rudes.,negativo, Avaliação da companhia aérea,25
A estadia no hotel foi absolutamente incrível! Luxo no seu melhor.,positivo, TripAdvisor,26
A comida neste restaurante era excelente. Altamente recomendado!,positivo, Zomato,27
Esta playlist é minha favorita para exercícios. Energizante e motivadora!,positivo, Spotify,28
